影视车天下第一,#genre#
CCTV中视购物,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660FC25DU30926083K774E2EB5IFFFFFFFFPBM2FB0704V10465Z224E9WF92C79850D1&playtoken=&programid=4200000144.m3u8#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=zsgw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://vapi.91kds.cc/live1/polyv.m3u8?id=zsgw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn源#http://1.82.70.88:8011/udp/239.111.205.96:5140$陕西电信#http://home.yulei.online:9999/udp/226.0.2.72:8488$山西联通#http://paofan.boyi56.cn:4022/udp/239.45.3.79:5140$上海电信#http://vapi.91kds.cc/live1/udp.m3u8?ip=tianjin-lt&id=225.1.2.85:5002&apiKey=73c963d13814ce7d0e4743c5e7d033cc$天津联通#http://218.86.153.29:9007/rtp/238.255.2.44:5999$贵州电信
CCTV世界地理,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=sjdl&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV世界地理,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/008/2024172003.m3u8$央视频1080P#http://[2409:8087:4c0a:22:1::27]:6610/170000001115/UmaiCHAN638077a61f4f3/1.m3u8?m3u8_level=2&IASHttpSessionId=#http://103.1.169.56/sx.v.smtcdns.net/123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/116/2012513303.m3u8#http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077a61f4f3/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQIxzzxEhTjOtZryLHMXreoGJ1P%2BMWIbO7dcr69BOnWr6VtCf%2FZIGsCvoR9H9LBuL%2Bb%2BgUMie3w0VElI8jl5lx%2Fxs#http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513303.m3u8#http://111.20.35.108:6610/yinhe/2/ch00000090990000002485/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://bkpcp.ddns.net:8000/ysp.php?id=sjdl
CCTV兵器科技,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=gfjs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV兵器科技,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/002/2024172103.m3u8$央视频1080P
CCTV第一剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=dyjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV第一剧场,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/031/2024171803.m3u8$央视频1080P
CCTV怀旧剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=hjjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV怀旧剧场,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/006/2024171903.m3u8$央视频1080P
CCTV风云剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云剧场,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/096/2024171703.m3u8$央视频1080P
CCTV风云音乐,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyyy&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云音乐,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/028/2024163303.m3u8$央视频1080P
CCTV风云足球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyzq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u80
CCTV风云足球,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/030/2012514203.m3u8$央视频1080P
CCTV央视文化精品,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=ysjp&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV央视文化精品,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/017/2024172303.m3u8$央视频1080P
CCTV高尔夫·网球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=gefwq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV高尔夫·网球,https://epg.pw/stream/b7bea242512cacd749fdc6300350d422f59ac8d08bc703b55169535d01668344.m3u8
CCTV央视台球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=ystq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8
CCTV高尔夫·网球,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/085/2024166203.m3u8$央视频1080P
CCTV央视台球,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/110/2024172403.m3u8$央视频1080P
CCTV央视台球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQIxzzxEhTjOtZryLHMXreoGIhhbZzYqwcgjvvRZLVRTRUXFxC%2BlDuTkdKHPnzcR1DomGVyhFGbQRmDDrX7x%2FDZL0#http://hy.baojihzjc.com:9001/udp/239.111.205.70:5140$陕西电信#http://dp.sxtv.top:88/md/cqyx.php?id=ystq$重庆有线
CCTV电视指南,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=dszn&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV电视指南,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/085/2024172503.m3u8$央视频1080P#http://120.76.248.139/live/bfgd/4200000164.m3u8#http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226717/index.m3u8#http://103.1.169.57/sx.v.smtcdns.net/123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/116/2012514003.m3u8#http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012514003.m3u8#http://111.20.35.108:6610/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://bkpcp.ddns.net:8000/ysp.php?id=dszn
CCTV女性时尚,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=nxss&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV女性时尚,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/010/2024172203.m3u8$央视频1080P#http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078715ba68/index.m3u8?m3u8_level=2$湖北移动iPv6
CCTV卫生健康,http://vapi.91kds.cc/live1/udp.m3u8?ip=tianjin-dx&id=239.5.1.131:5000&apiKey=73c963d13814ce7d0e4743c5e7d033cc$天津电信#http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660D6E65U3095F083K774E2EA1IFFFFFFFFPBM2FB0704V10465Z224E9WF926CA84951&playtoken=&programid=4200000102.m3u8$标清#http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/151/2024165203.m3u8$央视频1080P#https://www.sxtv.top/cctv.php?id=wsjk#http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513503.m3u8#http://bkpcp.ddns.net:8000/ysp.php?id=wsjk#http://ygbh.live/ysp.php?id=wsjk
CCTV卫生健康,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=wsjk&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
中央新影-中学生,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=zxs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://enlen.vip:4022/udp/239.200.200.136:8060$云南电信#http://pwd.unnas.top:4000/udp/239.253.92.27:6106$河北联通#http://pwd.unnas.top:4000/udp/239.253.92.27:6106$河北联通
中央新影-老故事,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=lgs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://60.6.111.113:808/hls/81/index.m3u8$河北邢台联通酒店#http://pwd.unnas.top:4000/udp/239.253.92.132:8068
中央新影-发现之旅,http://120.76.248.139/live/bfgd/4200000151.m3u8$北方广电#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fxzl&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://enlen.vip:4022/udp/239.200.201.164:8128$云南电信#http://dp.sxtv.top:88/md/cqyx.php?id=fxzl$重庆有线#http://pwd.unnas.top:4000/udp/239.253.94.30:6629#http://113.9.161.254:88/hls/28/index.m3u8#http://111.20.35.108:6610/yinhe/2/ch00000090990000001314/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
央广购物,https://newapplive.cnrmall.com/live/cnrxp_HD1200.m3u8$官方源#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=yggw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
购物（多平台）,http://[2409:8087:1a0a:df::4036]/wh7f454c46tw2542311669_1643720601/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226091/index.m3u8?icpid=88888888&RTS=1710670836&from=4&hms_devid=1209&vqe=3
CGTN,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvnews&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN纪录,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctv9y&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN西班牙语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctve&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN法语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvf&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN阿拉伯语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctva&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN俄语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvr&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/035/2024181703.m3u8$央视频1080P#https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8$RTHK源
CGTN纪录,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/003/2024182303.m3u8$央视频1080P#https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8$官方源#https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8$RTHK源
CGTN西班牙语,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/015/2024182103.m3u8$央视频1080P 
CGTN法语,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/032/2024181803.m3u8$央视频1080P
CGTN阿拉伯语,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/024/2024182003.m3u8$央视频1080P 
CGTN俄语,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/027/2024181903.m3u8$央视频1080P
CHC动作电影,http://cg1.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?t=GybtsMb6rF4QAbWTetat6g%3D%3D&u=HNTV01YU00021202&p=8&cid=100000189&pid=&l=1&d=48555E45F7FC&ip=192.168.197.8&n=CHCDZDY_8000&errorcode=0&sid=Cr7LfDpXE67QA0Nus2tGvg%3D%3D&r=20231212111337&e=20231212151337&nc=RcaFZlcDLlzv&a=1111&pd=60&errorReason=0&v=2&project=WNTV&hlsSessionID=4379470835422696805&srchost=172.16.22.158:8060&gid=f1hKFIYFjbQUf%2BTk5FhuTg%3D%3D$湖南广电
CHC家庭影院,http://cg14.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?t=D360byGt%2BpZL3Wo1xiFxAw%3D%3D&u=HNTV01YU00021202&p=8&cid=100000190&pid=&l=1&d=48555E45F7FC&ip=192.168.197.125&n=CHCJTYY_8000&errorcode=0&sid=dc0dvd1mPBtLnOcG8ia8jA%3D%3D&r=20231212111401&e=20231212151401&nc=XOLY5A6gm03W&a=1111&pd=60&errorReason=0&v=2&project=WNTV&hlsSessionID=4379470835422697120&srchost=172.16.22.158:8060&gid=DHldhfgdMMpjpVp6NSOZqw%3D%3D$湖南广电
CHC影迷电影,http://cg6.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?t=VwFiKC8%2Fi8f%2B6CDdOS5f5A%3D%3D&u=HNTV01YU00021202&p=8&cid=10000081&pid=&l=1&d=48555E45F7FC&ip=192.168.197.127&n=CHCGQ_8000&errorcode=0&sid=MlE%2BuV%2FON7MM6310fiBTpg%3D%3D&r=20231212111248&e=20231212151248&nc=bHZFrU2ASl02&a=1111&pd=60&errorReason=0&v=2&project=WNTV&hlsSessionID=4379470835422696237&srchost=172.16.22.158:8060&gid=P%2BUM0yvAUJ7cFgaqUZr56A%3D%3D$湖南广电
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8$北方广电
中国电影,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=zgdy&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://171.108.239.80:8181/tsfile/live/1013_1.m3u8$广西贵港电信酒店#http://110.72.76.106:8181/tsfile/live/1088_1.m3u8$广西贵港联通酒店
中国教育1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8#http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8$央视频1080P
中国教育2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
中国教育3,http://vapi.91kds.cc/live1/udp.m3u8?ip=beijing-lt&id=239.3.1.55:4120&apiKey=73c963d13814ce7d0e4743c5e7d033cc$北京联通#http://vapi.91kds.cc/live1/udp.m3u8?ip=beijing-dx&id=225.1.0.240:1025&apiKey=73c963d13814ce7d0e4743c5e7d033cc$北京电信#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cetv3&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源##http://120.76.248.139/live/gitvgd/cetv3.m3u8#http://61.51.141.145:8888/rtp/239.3.1.55:4120#http://111.20.35.108:6610/yinhe/2/ch00000090990000001309/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://39.134.24.162:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
中国教育4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CETV早期教育,http://ha.xushining.com:50000/udp/225.1.2.207:5002$天津联通#http://itms.xznet.org:41097/rtp/239.254.201.230:7253$河北电信#http://60.7.56.50:4000/rtp/239.253.93.164:6440$河北联通

☯️|车车央卫视v6,#genre#

CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8
CCTV2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226473/index.m3u8
CCTV11,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226565/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226537/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226476/index.m3u8
CCTV16,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8
CHC高清电影,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D
CHC动作电影,http://cg0.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316076&srchost=172.16.22.158:8060&gid=ZF3q5L%2FmYWch1qWqTIPAjw%3D%3D
CHC家庭影院,http://cg11.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316833&srchost=172.16.22.158:8060&gid=c%2BNqgq8pR1ZQ7ZzcmkS8%2BQ%3D%3D
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
北京卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226450/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226307/index.m3u8
东方卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226345/index.m3u8
四川卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226338/index.m3u8
天津卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226459/index.m3u8
